make,fuel-type,aspiration,num-doors,body-style,drive-wheels,length,width,height,curb-weight,num-of-cylinders,fuel-system,horsepower,peak-rpm,city-mpg,highway-mpg,price
mitsubishi,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2921,four,spdi,145,5000,19,24,14869
mitsubishi,gas,turbo,two,hatchback,fwd,173.2,66.3,50.2,2926,four,spdi,145,5000,19,24,14489
mitsubishi,gas,std,four,sedan,fwd,172.4,65.4,51.6,2365,four,2bbl,88,5000,25,32,6989
mitsubishi,gas,std,four,sedan,fwd,172.4,65.4,51.6,2405,four,2bbl,88,5000,25,32,8189
mitsubishi,gas,turbo,four,sedan,fwd,172.4,65.4,51.6,2403,four,spdi,116,5500,23,30,9279
mitsubishi,gas,std,four,sedan,fwd,172.4,65.4,51.6,2403,four,spdi,116,5500,23,30,9279
nissan,gas,std,two,sedan,fwd,165.3,63.8,54.5,1889,four,2bbl,69,5200,31,37,5499
nissan,diesel,std,two,sedan,fwd,165.3,63.8,54.5,2017,four,idi,55,4800,45,50,7099
nissan,gas,std,two,sedan,fwd,165.3,63.8,54.5,1918,four,2bbl,69,5200,31,37,6649
nissan,gas,std,four,sedan,fwd,165.3,63.8,54.5,1938,four,2bbl,69,5200,31,37,6849
nissan,gas,std,four,wagon,fwd,170.2,63.8,53.5,2024,four,2bbl,69,5200,31,37,7349
nissan,gas,std,two,sedan,fwd,165.3,63.8,54.5,1951,four,2bbl,69,5200,31,37,7299
nissan,gas,std,two,hatchback,fwd,165.6,63.8,53.3,2028,four,2bbl,69,5200,31,37,7799
nissan,gas,std,four,sedan,fwd,165.3,63.8,54.5,1971,four,2bbl,69,5200,31,37,7499
nissan,gas,std,four,wagon,fwd,170.2,63.8,53.5,2037,four,2bbl,69,5200,31,37,7999
nissan,gas,std,two,hardtop,fwd,162.4,63.8,53.3,2008,four,2bbl,69,5200,31,37,8249
nissan,gas,std,four,hatchback,fwd,173.4,65.2,54.7,2324,four,2bbl,97,5200,27,34,8949
nissan,gas,std,four,sedan,fwd,173.4,65.2,54.7,2302,four,2bbl,97,5200,27,34,9549
nissan,gas,std,four,sedan,fwd,181.7,66.5,55.1,3095,six,mpfi,152,5200,17,22,13499
nissan,gas,std,four,wagon,fwd,184.6,66.5,56.1,3296,six,mpfi,152,5200,17,22,14399
nissan,gas,std,four,sedan,fwd,184.6,66.5,55.1,3060,six,mpfi,152,5200,19,25,13499
nissan,gas,std,two,hatchback,rwd,170.7,67.9,49.7,3071,six,mpfi,160,5200,19,25,17199
nissan,gas,turbo,two,hatchback,rwd,170.7,67.9,49.7,3139,six,mpfi,200,5200,17,23,19699
nissan,gas,std,two,hatchback,rwd,178.5,67.9,49.7,3139,six,mpfi,160,5200,19,25,18399
peugot,gas,std,four,sedan,rwd,186.7,68.4,56.7,3020,four,mpfi,97,5000,19,24,11900
peugot,diesel,turbo,four,sedan,rwd,186.7,68.4,56.7,3197,four,idi,95,4150,28,33,13200
peugot,gas,std,four,wagon,rwd,198.9,68.4,58.7,3230,four,mpfi,97,5000,19,24,12440
peugot,diesel,turbo,four,wagon,rwd,198.9,68.4,58.7,3430,four,idi,95,4150,25,25,13860
peugot,gas,std,four,sedan,rwd,186.7,68.4,56.7,3075,four,mpfi,95,5000,19,24,15580
peugot,diesel,turbo,four,sedan,rwd,186.7,68.4,56.7,3252,four,idi,95,4150,28,33,16900
peugot,gas,std,four,wagon,rwd,198.9,68.4,56.7,3285,four,mpfi,95,5000,19,24,16695
peugot,diesel,turbo,four,wagon,rwd,198.9,68.4,58.7,3485,four,idi,95,4150,25,25,17075
peugot,gas,std,four,sedan,rwd,186.7,68.4,56.7,3075,four,mpfi,97,5000,19,24,16630
peugot,diesel,turbo,four,sedan,rwd,186.7,68.4,56.7,3252,four,idi,95,4150,28,33,17950
peugot,gas,turbo,four,sedan,rwd,186.7,68.3,56,3130,four,mpfi,142,5600,18,24,18150
plymouth,gas,std,two,hatchback,fwd,157.3,63.8,50.8,1918,four,2bbl,68,5500,37,41,5572
plymouth,gas,turbo,two,hatchback,fwd,157.3,63.8,50.8,2128,four,spdi,102,5500,24,30,7957
plymouth,gas,std,four,hatchback,fwd,157.3,63.8,50.6,1967,four,2bbl,68,5500,31,38,6229
plymouth,gas,std,four,sedan,fwd,167.3,63.8,50.8,1989,four,2bbl,68,5500,31,38,6692
plymouth,gas,std,four,sedan,fwd,167.3,63.8,50.8,2191,four,2bbl,68,5500,31,38,7609
plymouth,gas,std,four,wagon,fwd,174.6,64.6,59.8,2535,four,2bbl,88,5000,24,30,8921
plymouth,gas,turbo,two,hatchback,rwd,173.2,66.3,50.2,2818,four,spdi,145,5000,19,24,12764
porsche,gas,std,two,hatchback,rwd,168.9,68.3,50.2,2778,four,mpfi,143,5500,19,27,22018
porsche,gas,std,two,hardtop,rwd,168.9,65,51.6,2756,six,mpfi,207,5900,17,25,32528
porsche,gas,std,two,hardtop,rwd,168.9,65,51.6,2756,six,mpfi,207,5900,17,25,34028
porsche,gas,std,two,convertible,rwd,168.9,65,51.6,2800,six,mpfi,207,5900,17,25,37028
porsche,gas,std,two,hatchback,rwd,175.7,72.3,50.5,3366,eight,mpfi,288,5750,17,28,
renault,gas,std,four,wagon,fwd,181.5,66.5,55.2,2579,four,mpfi,,,23,31,9295
renault,gas,std,two,hatchback,fwd,176.8,66.6,50.5,2460,four,mpfi,,,23,31,9895
saab,gas,std,two,hatchback,fwd,186.6,66.5,56.1,2658,four,mpfi,110,5250,21,28,11850
saab,gas,std,four,sedan,fwd,186.6,66.5,56.1,2695,four,mpfi,110,5250,21,28,12170
saab,gas,std,two,hatchback,fwd,186.6,66.5,56.1,2707,four,mpfi,110,5250,21,28,15040
saab,gas,std,four,sedan,fwd,186.6,66.5,56.1,2758,four,mpfi,110,5250,21,28,15510
saab,gas,turbo,two,hatchback,fwd,186.6,66.5,56.1,2808,four,mpfi,160,5500,19,26,18150
saab,gas,turbo,four,sedan,fwd,186.6,66.5,56.1,2847,four,mpfi,160,5500,19,26,18620
subaru,gas,std,two,hatchback,fwd,156.9,63.4,53.7,2050,four,2bbl,69,4900,31,36,5118
subaru,gas,std,two,hatchback,fwd,157.9,63.6,53.7,2120,four,2bbl,73,4400,26,31,7053
subaru,gas,std,two,hatchback,4wd,157.3,63.8,55.7,2240,four,2bbl,73,4400,26,31,7603
subaru,gas,std,four,sedan,fwd,172,65.4,52.5,2145,four,2bbl,82,4800,32,37,7126
subaru,gas,std,four,sedan,fwd,172,65.4,52.5,2190,four,2bbl,82,4400,28,33,7775
subaru,gas,std,four,sedan,fwd,172,65.4,52.5,2340,four,mpfi,94,5200,26,32,9960
subaru,gas,std,four,sedan,4wd,172,65.4,54.3,2385,four,2bbl,82,4800,24,25,9233
subaru,gas,turbo,four,sedan,4wd,172,65.4,54.3,2510,four,mpfi,111,4800,24,29,11259
subaru,gas,std,four,wagon,fwd,173.5,65.4,53,2290,four,2bbl,82,4800,28,32,7463
subaru,gas,std,four,wagon,fwd,173.5,65.4,53,2455,four,mpfi,94,5200,25,31,10198
subaru,gas,std,four,wagon,4wd,173.6,65.4,54.9,2420,four,2bbl,82,4800,23,29,8013
subaru,gas,turbo,four,wagon,4wd,173.6,65.4,54.9,2650,four,mpfi,111,4800,23,23,11694
toyota,gas,std,two,hatchback,fwd,158.7,63.6,54.5,1985,four,2bbl,62,4800,35,39,5348
toyota,gas,std,two,hatchback,fwd,158.7,63.6,54.5,2040,four,2bbl,62,4800,31,38,6338
toyota,gas,std,four,hatchback,fwd,158.7,63.6,54.5,2015,four,2bbl,62,4800,31,38,6488
toyota,gas,std,four,wagon,fwd,169.7,63.6,59.1,2280,four,2bbl,62,4800,31,37,6918
toyota,gas,std,four,wagon,4wd,169.7,63.6,59.1,2290,four,2bbl,62,4800,27,32,7898
toyota,gas,std,four,wagon,4wd,169.7,63.6,59.1,3110,four,2bbl,62,4800,27,32,8778
toyota,gas,std,four,sedan,fwd,166.3,64.4,53,2081,four,2bbl,70,4800,30,37,6938
toyota,gas,std,four,hatchback,fwd,166.3,64.4,52.8,2109,four,2bbl,70,4800,30,37,7198
toyota,diesel,std,four,sedan,fwd,166.3,64.4,53,2275,four,idi,56,4500,34,36,7898
toyota,diesel,std,four,hatchback,fwd,166.3,64.4,52.8,2275,four,idi,56,4500,38,47,7788
toyota,gas,std,four,sedan,fwd,166.3,64.4,53,2094,four,2bbl,70,4800,38,47,7738
toyota,gas,std,four,hatchback,fwd,166.3,64.4,52.8,2122,four,2bbl,70,4800,28,34,8358
toyota,gas,std,four,sedan,fwd,166.3,64.4,52.8,2140,four,2bbl,70,4800,28,34,9258
toyota,gas,std,two,sedan,rwd,168.7,64,52.6,2169,four,2bbl,70,4800,29,34,8058
toyota,gas,std,two,hatchback,rwd,168.7,64,52.6,2204,four,2bbl,70,4800,29,34,8238
toyota,gas,std,two,sedan,rwd,168.7,64,52.6,2265,four,mpfi,112,6600,26,29,9298
toyota,gas,std,two,hatchback,rwd,168.7,64,52.6,2300,four,mpfi,112,6600,26,29,9538
toyota,gas,std,two,hardtop,rwd,176.2,65.6,52,2540,four,mpfi,116,4800,24,30,8449
toyota,gas,std,two,hardtop,rwd,176.2,65.6,52,2536,four,mpfi,116,4800,24,30,9639
toyota,gas,std,two,hatchback,rwd,176.2,65.6,52,2551,four,mpfi,116,4800,24,30,9989
toyota,gas,std,two,hardtop,rwd,176.2,65.6,52,2679,four,mpfi,116,4800,24,30,11199
toyota,gas,std,two,hatchback,rwd,176.2,65.6,52,2714,four,mpfi,116,4800,24,30,11549
toyota,gas,std,two,convertible,rwd,176.2,65.6,53,2975,four,mpfi,116,4800,24,30,17669
toyota,gas,std,four,sedan,fwd,175.6,66.5,54.9,2326,four,mpfi,92,4200,29,34,8948
toyota,diesel,turbo,four,sedan,fwd,175.6,66.5,54.9,2480,four,idi,73,4500,30,33,10698
toyota,gas,std,four,hatchback,fwd,175.6,66.5,53.9,2414,four,mpfi,92,4200,27,32,9988
toyota,gas,std,four,sedan,fwd,175.6,66.5,54.9,2414,four,mpfi,92,4200,27,32,10898
toyota,gas,std,four,hatchback,fwd,175.6,66.5,53.9,2458,four,mpfi,92,4200,27,32,11248
toyota,gas,std,two,hatchback,rwd,183.5,67.7,52,2976,six,mpfi,161,5200,20,24,16558
toyota,gas,std,two,hatchback,rwd,183.5,67.7,52,3016,six,mpfi,161,5200,19,24,15998
toyota,gas,std,four,sedan,rwd,187.8,66.5,54.1,3131,six,mpfi,156,5200,20,24,15690
toyota,gas,std,four,wagon,rwd,187.8,66.5,54.1,3151,six,mpfi,156,5200,19,24,15750
volkswagen,diesel,std,two,sedan,fwd,171.7,65.5,55.7,2261,four,idi,52,4800,37,46,7775
volkswagen,gas,std,two,sedan,fwd,171.7,65.5,55.7,2209,four,mpfi,85,5250,27,34,7975
volkswagen,diesel,std,four,sedan,fwd,171.7,65.5,55.7,2264,four,idi,52,4800,37,46,7995
volkswagen,gas,std,four,sedan,fwd,171.7,65.5,55.7,2212,four,mpfi,85,5250,27,34,8195
volkswagen,gas,std,four,sedan,fwd,171.7,65.5,55.7,2275,four,mpfi,85,5250,27,34,8495
volkswagen,diesel,turbo,four,sedan,fwd,171.7,65.5,55.7,2319,four,idi,68,4500,37,42,9495
volkswagen,gas,std,four,sedan,fwd,171.7,65.5,55.7,2300,four,mpfi,100,5500,26,32,9995
volkswagen,gas,std,two,convertible,fwd,159.3,64.2,55.6,2254,four,mpfi,90,5500,24,29,11595
volkswagen,gas,std,two,hatchback,fwd,165.7,64,51.4,2221,four,mpfi,90,5500,24,29,9980
volkswagen,gas,std,four,sedan,fwd,180.2,66.9,55.1,2661,five,mpfi,110,5500,19,24,13295
volkswagen,diesel,turbo,four,sedan,fwd,180.2,66.9,55.1,2579,four,idi,68,4500,33,38,13845
volkswagen,gas,std,four,wagon,fwd,183.1,66.9,55.1,2563,four,mpfi,88,5500,25,31,12290
volvo,gas,std,four,sedan,rwd,188.8,67.2,56.2,2912,four,mpfi,114,5400,23,28,12940
volvo,gas,std,four,wagon,rwd,188.8,67.2,57.5,3034,four,mpfi,114,5400,23,28,13415
volvo,gas,std,four,sedan,rwd,188.8,67.2,56.2,2935,four,mpfi,114,5400,24,28,15985
volvo,gas,std,four,wagon,rwd,188.8,67.2,57.5,3042,four,mpfi,114,5400,24,28,16515
volvo,gas,turbo,four,sedan,rwd,188.8,67.2,56.2,3045,four,mpfi,162,5100,17,22,18420
volvo,gas,turbo,four,wagon,rwd,188.8,67.2,57.5,3157,four,mpfi,162,5100,17,22,18950
volvo,gas,std,four,sedan,rwd,188.8,68.9,55.5,2952,four,mpfi,114,5400,23,28,16845
volvo,gas,turbo,four,sedan,rwd,188.8,68.8,55.5,3049,four,mpfi,160,5300,19,25,19045
volvo,gas,std,four,sedan,rwd,188.8,68.9,55.5,3012,six,mpfi,134,5500,18,23,21485
volvo,diesel,turbo,four,sedan,rwd,188.8,68.9,55.5,3217,six,idi,106,4800,26,27,22470
volvo,gas,turbo,four,sedan,rwd,188.8,68.9,55.5,3062,four,mpfi,114,5400,19,25,22625
