make,fuel-type,aspiration,num-doors,body-style,drive-wheels,engine-location
subaru,gas,std,four,wagon,fwd,front
subaru,gas,std,four,wagon,4wd,front
subaru,gas,turbo,four,wagon,4wd,front
toyota,gas,std,two,hatchback,fwd,front
toyota,gas,std,two,hatchback,fwd,front
toyota,gas,std,four,hatchback,fwd,front
toyota,gas,std,four,wagon,fwd,front
toyota,gas,std,four,wagon,4wd,front
toyota,gas,std,four,wagon,4wd,front
toyota,gas,std,four,sedan,fwd,front
toyota,gas,std,four,hatchback,fwd,front
toyota,diesel,std,four,sedan,fwd,front
toyota,diesel,std,four,hatchback,fwd,front
toyota,gas,std,four,sedan,fwd,front
toyota,gas,std,four,hatchback,fwd,front
toyota,gas,std,four,sedan,fwd,front
toyota,gas,std,two,sedan,rwd,front
toyota,gas,std,two,hatchback,rwd,front
toyota,gas,std,two,sedan,rwd,front
toyota,gas,std,two,hatchback,rwd,front
toyota,gas,std,two,hardtop,rwd,front
toyota,gas,std,two,hardtop,rwd,front
toyota,gas,std,two,hatchback,rwd,front
toyota,gas,std,two,hardtop,rwd,front
toyota,gas,std,two,hatchback,rwd,front
toyota,gas,std,two,convertible,rwd,front
toyota,gas,std,four,sedan,fwd,front
toyota,diesel,turbo,four,sedan,fwd,front
toyota,gas,std,four,hatchback,fwd,front
toyota,gas,std,four,sedan,fwd,front
toyota,gas,std,four,hatchback,fwd,front
toyota,gas,std,two,hatchback,rwd,front
toyota,gas,std,two,hatchback,rwd,front
toyota,gas,std,four,sedan,rwd,front
toyota,gas,std,four,wagon,rwd,front
volkswagen,diesel,std,two,sedan,fwd,front
volkswagen,gas,std,two,sedan,fwd,front
volkswagen,diesel,std,four,sedan,fwd,front
volkswagen,gas,std,four,sedan,fwd,front
volkswagen,gas,std,four,sedan,fwd,front
volkswagen,diesel,turbo,four,sedan,fwd,front
volkswagen,gas,std,four,sedan,fwd,front
volkswagen,gas,std,two,convertible,fwd,front
volkswagen,gas,std,two,hatchback,fwd,front
volkswagen,gas,std,four,sedan,fwd,front
volkswagen,diesel,turbo,four,sedan,fwd,front
volkswagen,gas,std,four,wagon,fwd,front
volvo,gas,std,four,sedan,rwd,front
volvo,gas,std,four,wagon,rwd,front
volvo,gas,std,four,sedan,rwd,front
volvo,gas,std,four,wagon,rwd,front
volvo,gas,turbo,four,sedan,rwd,front
volvo,gas,turbo,four,wagon,rwd,front
volvo,gas,std,four,sedan,rwd,front
volvo,gas,turbo,four,sedan,rwd,front
volvo,gas,std,four,sedan,rwd,front
volvo,diesel,turbo,four,sedan,rwd,front
volvo,gas,turbo,four,sedan,rwd,front
